Crop,Year,Avg_temp (C?),Avg_Humidity,Avg_Rainfall(mm),Season,Fertilizer,Nitrogen (Kg/ha,Phosphorus (Kg/ha),Potassium(Kg/ha),pH,Soil Type,Seed Rate (kg/ha),Crop Yield (kg/ha),Area (ha),Pesticides,Pesticides Rate (ml/ha),Herbicides,Herbicides Rate (ml/ha),seed_type
Rice,2000,26.75,82.09,227.1,Rainy,NPK 15:15:15,50,30,30,6.5,sandy,50,2950,1,Vetox 85,1680,PARAFORCE (PARAQUAT),3700,Faro-55
Rice,2001,26.76,80.31,202.1,Rainy,NPK 15:15:15,60,30,30,7,loamy,50,2048,1,Vetox 85,1680,FORCE UP (GLYPHOSATE),1700,Faro-54
Rice,2002,26.98,82.32,190.1,Rainy,NPK 15:15:15,60,30,30,7.8,clay,50,2590,1,Nogos 50,30,RiceForce (oxadiazon),4000,Faro-44
Rice,2003,27.15,80.15,169,Rainy,NPK 15:15:15,50,30,30,6.9,loamy,50,6500,1,Nogos 50,30,"2,4-D",1700,Gawal-R1
Rice,2004,27.11,81.6,166,Rainy,NPK 15:15:15,50,30,30,7.6,loamy,50,2862,1,Vetox 85,1680,ATRAFORCE (ATRAZINE),1650,Faro-55
Rice,2005,27.27,83.37,159,Rainy,NPK 15:15:15,60,30,30,7.07,loamy,50,2890,1,Gammalin 20,1652,BUTACHLOR,3000,Faro-55
Rice,2006,26.38,82.63,156,Rainy,NPK 15:15:15,60,30,30,5.7,sandy,50,2950,1,Nogos 50,30,3MAIZEFORCE,2000,Faro-55
Rice,2007,26.29,82.89,178,Rainy,NPK 15:15:15,60,30,30,5.7,loamy,50,2150,1,Nogos 50,30,Propalnil + 2.4 D,5000,Faro-55
Rice,2008,27.07,83.53,162.8,Rainy,NPK 15:15:15,60,30,30,6.6,loamy,50,2709,1,Vetox 85,1680,Bispyribac Sodium,150,Faro-55
Rice,2009,27.35,83.03,229,Rainy,NPK 15:15:15,60,30,30,6.33,clay,50,3050,1,Gammalin 20,1680,POWERFORCE (Atrazine + Paraquat),4000,Faro-55
Rice,2010,27.56,81.41,136,Rainy,NPK 15:15:15,60,30,30,5.3,loamy,50,2150,1,Gammalin 20,1680,BentaForce,5100,Faro-55
Rice,2011,27.13,81.45,259,Rainy,NPK 15:15:15,60,30,30,7.5,loamy,50,8731,1,Vetox 85,1680,GuardForce,1650,Gawal-R1
Rice,2012,27,80.88,206,Rainy,NPK 15:15:15,50,30,30,5.1,clay,50,7485,1,Vetox 85,1680,ATALAR,2300,Gawal-R1
Rice,2013,27.17,82.05,190,Rainy,NPK 15:15:15,50,30,30,6.9,loamy,50,2900,1,Vetox 85,1680,PARAFORCE (PARAQUAT),3300,Faro-24
Rice,2014,27.22,80.66,196,Rainy,NPK 15:15:15,50,30,30,6.9,sandy,50,2862,1,Nogos 50,30,FORCE UP (GLYPHOSATE),3800,Faro-24
Rice,2015,26.52,80.3,125.1,Rainy,NPK 15:15:15,50,30,30,7.04,loamy,50,1950,1,Vetox 85,1680,RiceForce (oxadiazon),4000,Faro-24
Rice,2016,27,82.78,181.2,Rainy,NPK 15:15:15,50,30,30,6.2,loamy,50,2190,1,Nogos 50,30,"2,4-D",1700,Faro-44
Rice,2017,26.28,84.04,391.1,Rainy,NPK 15:15:15,50,30,30,6.9,sandy,50,2050,1,Gammalin 20,1680,ATRAFORCE (ATRAZINE),3100,Faro-24
Rice,2018,27.58,80.54,170.2,Rainy,NPK 15:15:15,50,30,30,5.9,loamy,50,9482,1,Nogos 50,30,BUTACHLOR,3000,Gawal-R1
Rice,2019,26.79,84.49,141,Rainy,NPK 15:15:15,50,30,30,5.8,clay,50,9961,1,Gammalin 20,1680,3MAIZEFORCE,2200,Gawal-R1
Maize,2000,26.75,82,127.7,Rainy,NPK 15:15:15,120,60,50,5.7,loamy,25,3500,1,Gammalin 20,1680,Propalnil + 2.4 D,5500,SC-419
Maize,2001,26.76,80.31,122.8,Rainy,NPK 15:15:15,120,60,50,6.9,loamy,25,2950,1,Vetox 85,1680,Bispyribac Sodium,300,SC-419
Maize,2002,26.98,82.32,191.7,Rainy,NPK 15:15:15,120,60,50,6.6,clay,25,3500,1,Gammalin 20,1680,POWERFORCE (Atrazine + Paraquat),4000,DK-649
Maize,2003,27.15,50.15,139.2,Dry,NPK 15:15:15,120,60,50,6.5,loamy,25,3000,1,Vetox 85,1680,BentaForce,3300,SC-419
Maize,2004,27.11,51.6,166.3,Dry,NPK 15:15:15,120,60,50,5.9,sandy,25,2500,1,Gammalin 20,1680,GuardForce,1200,DK-234
Maize,2005,27.27,53.37,159.3,Dry,NPK 12:12:17,120,60,50,6.1,loamy,30,3000,1,Nogos 50,30,ATALAR,3100,DK-234
Maize,2006,27.38,52.63,106.5,Dry,NPK 12:12:17,120,60,50,6.04,clay,30,3500,1,Vetox 85,1680,PARAFORCE (PARAQUAT),1300,DK-234
Maize,2007,27.29,52.89,108.8,Dry,NPK 15:15:15,120,60,50,5.9,loamy,25,3000,1,Nogos 50,30,FORCE UP (GLYPHOSATE),2200,DK-649
Maize,2008,27.07,83.53,102.2,Rainy,NPK 15:15:15,120,60,50,5.8,sandy,25,2500,1,Vetox 85,1680,RiceForce (oxadiazon),4000,DK-649
Maize,2009,27.35,83.03,292.2,Rainy,NPK 15:15:15,100,50,50,5.7,clay,25,3500,1,Nogos 50,30,"2,4-D",1600,DK-234
Maize,2010,27.56,81.41,236.4,Rainy,NPK 15:15:15,100,50,50,5.8,loamy,25,3000,1,Vetox 85,1680,ATRAFORCE (ATRAZINE),3000,SC-419
Maize,2011,27.13,81.45,159.9,Rainy,NPK 12:12:17,100,50,50,6.4,clay,25,2700,1,Gammalin 20,1680,BUTACHLOR,3000,DK-777
Maize,2012,27,80.88,206.8,Rainy,NPK 12:12:17,100,50,50,6.9,sandy,25,2800,1,Nogos 50,30,3MAIZEFORCE,1300,SC-612
Maize,2013,27.17,82.05,420.8,Rainy,NPK 15:15:15,100,50,50,6,loamy,25,2950,1,Nogos 50,30,Propalnil + 2.4 D,5500,Oba-98
Maize,2014,27.22,80.66,116.3,Rainy,NPK 15:15:15,100,50,50,5.9,sandy,25,3550,1,Vetox 85,1680,Bispyribac Sodium,150,DK-649
Maize,2015,26.52,80.3,125.1,Rainy,NPK 12:12:17,100,50,50,6.2,clay,25,3050,1,Gammalin 20,1680,POWERFORCE (Atrazine + Paraquat),5000,SC-419
Maize,2016,27,82.78,191.2,Rainy,NPK 12:12:17,100,50,50,6.6,loamy,25,3250,1,Nogos 50,30,BentaForce,2000,SC-419
Maize,2017,26.28,84.04,191.1,Rainy,NPK 12:12:17,100,50,50,6.02,sandy,25,4500,1,Vetox 85,1680,GuardForce,1200,DK-234
Maize,2018,27.58,80.54,220,Rainy,NPK 12:12:17,100,50,50,6.03,clay,25,3500,1,Vetox 85,1680,ATALAR,3600,SC-419
Maize,2019,26.79,84.49,141.6,Rainy,NPK 15:15:15,100,50,50,6.2,loamy,25,4500,1,Vetox 85,1680,METOLACHLOR,1500,Oba-98
Rice,2010,26.03,83.68,129.2,Rainy,NPK 15:15:15,50,30,30,6.1,loamy,50,4000,1,Gammalin 20,1680,"2,4-D",3400,Faro-55
Rice,2017,26.77,83.04,163.1,Rainy,NPK 15:15:15,50,30,30,5.2,sandy,50,5590,1,Nogos 50,30,ATRAFORCE (ATRAZINE),2800,Faro-44
Maize,2016,26.51,83.59,292.1,Rainy,NPK 15:15:15,100,50,50,6.2,clay,25,2150,1,Gammalin 20,1680,BUTACHLOR,2400,DK-649
Maize,2004,26.39,84.32,117.5,Rainy,NPK 15:15:15,100,50,50,6.9,clay,25,2709,1,Nogos 50,30,3MAIZEFORCE,2600,DK-234
Rice,2003,26.61,81.36,154.6,Rainy,NPK 15:15:15,60,30,30,4.02,sandy,50,3050,1,Nogos 50,30,Propalnil + 2.4 D,5400,Faro-44
Maize,2000,26.13,83.12,136.3,Rainy,NPK 15:15:15,120,60,50,6.7,loamy,25,2150,1,Vetox 85,1680,Bispyribac Sodium,150,DK-649
Rice,2012,27.36,83.85,289,Rainy,NPK 15:15:15,50,30,30,6.5,sandy,50,8731,1,Nogos 50,30,POWERFORCE (Atrazine + Paraquat),5000,Gawal-R1
Maize,2000,25.83,81.6,290,Rainy,NPK 15:15:15,120,60,50,6.8,clay,25,7485,1,Vetox 85,1680,BentaForce,2300,DK-234
Rice,2021,26.46,82.84,120,Rainy,NPK 15:15:15,50,30,30,5.7,clay,50,2900,1,Nogos 50,30,GuardForce,1600,Faro-24
Maize,2018,26.62,54.51,122.6,Dry,NPK 15:15:15,100,50,50,6.9,clay,25,2862,1,Vetox 85,1680,ATALAR,3600,SC-612
Maize,2015,26.07,50.7,198.9,Dry,NPK 15:15:15,100,50,50,4.6,sandy,25,1950,1,Nogos 50,30,METOLACHLOR,1500,DK-649
Maize,2006,26.75,52.45,149.7,Dry,NPK 15:15:15,100,50,50,6.8,sandy,25,2190,1,Gammalin 20,1680,PARAFORCE (PARAQUAT),3300,SC-612
